iter	RMSE
0	14.48906053
1	14.02225494
2	13.60354732
3	13.15919147
4	12.75735
5	12.41433471
6	12.04332751
7	11.7159182
8	11.40918526
9	11.06317149
10	10.74512018
11	10.47284173
12	10.22645161
13	9.996941914
14	9.738907396
15	9.483581501
16	9.248762967
17	9.044423454
18	8.830480782
19	8.640430273
20	8.469232316
21	8.293038317
22	8.134457778
23	7.971516779
24	7.817057171
25	7.687055177
26	7.568147707
27	7.468289508
28	7.347085123
29	7.238066519
30	7.129730794
31	7.024393974
32	6.925199123
33	6.847811332
34	6.755863872
35	6.668564977
36	6.593058094
37	6.524365189
38	6.462115348
39	6.400842955
40	6.344499875
41	6.293484608
42	6.24087202
43	6.198546265
44	6.147335606
45	6.093775884
46	6.050513246
47	6.006693727
48	5.96089276
49	5.918196519
50	5.88272917
51	5.8511336
52	5.81584368
53	5.782817455
54	5.752000872
55	5.726572835
56	5.698917139
57	5.676518895
58	5.655940507
59	5.636103831
60	5.611404849
61	5.588301345
62	5.565889892
63	5.539865651
64	5.520455813
65	5.499997499
66	5.48268047
67	5.461563181
68	5.449566952
69	5.431414573
70	5.411391195
71	5.401950923
72	5.389055706
73	5.376409829
74	5.362883706
75	5.351001093
76	5.342058679
77	5.333472939
78	5.323751558
79	5.308601135
80	5.304390939
81	5.292213733
82	5.28120348
83	5.270115932
84	5.264979551
85	5.255314542
86	5.250781355
87	5.236993842
88	5.223666913
89	5.212780596
90	5.206345172
91	5.197603235
92	5.186533071
93	5.182185788
94	5.171870188
95	5.163542452
96	5.163119374
97	5.15256374
98	5.144877981
99	5.140240422
100	5.129971962
101	5.121855004
102	5.11334142
103	5.104138464
104	5.09976708
105	5.094168591
106	5.089045125
107	5.079200796
108	5.072248379
109	5.0652743
110	5.061189088
111	5.051910168
112	5.044075152
113	5.039775108
114	5.031587627
115	5.026941043
116	5.022746
117	5.016599316
118	5.008152585
119	5.004898074
120	4.998627337
121	4.994807853
122	4.989789709
123	4.983325442
124	4.978309514
125	4.973129018
126	4.971429647
127	4.967489337
128	4.965365253
129	4.962312215
130	4.956984939
131	4.953429416
132	4.945239304
133	4.938404554
134	4.932089676
135	4.928068645
136	4.922207553
137	4.91737021
138	4.910071973
139	4.900370311
140	4.895671161
141	4.890098002
142	4.887352734
143	4.880657277
144	4.877795884
145	4.871797273
146	4.867615812
147	4.865186241
148	4.859010581
149	4.854683211
150	4.847837606
151	4.846830944
152	4.843255543
153	4.839750373
154	4.834143945
155	4.825870346
156	4.823744293
157	4.819754416
158	4.817027034
159	4.813701569
160	4.811064063
161	4.804551623
162	4.80014012
163	4.795765075
164	4.79025872
165	4.785587743
166	4.778402121
167	4.77396725
168	4.770607643
169	4.766542314
170	4.763720652
171	4.755761465
172	4.753174532
173	4.749824782
174	4.746422974
175	4.745347927
176	4.737543063
177	4.734058001
178	4.730552418
179	4.7287257
180	4.722207409
181	4.716404156
182	4.713764395
183	4.711596985
184	4.707332593
185	4.705320035
186	4.701004581
187	4.699725063
188	4.697998263
189	4.692555934
190	4.692044496
191	4.688238875
192	4.68553754
193	4.684759613
194	4.681178888
195	4.676694684
196	4.672338415
197	4.67192808
198	4.666843806
199	4.662566473
200	4.65922601
201	4.658524982
202	4.657663871
203	4.654114059
204	4.652413561
205	4.650731762
206	4.645919061
207	4.642186479
208	4.632385462
209	4.627575763
210	4.626600553
211	4.621590971
212	4.618165744
213	4.615138999
214	4.613115963
215	4.606796256
216	4.60151583
217	4.593331456
218	4.588837494
219	4.585851113
220	4.58403864
221	4.579608179
222	4.579348034
223	4.574559447
224	4.57306201
225	4.568598798
226	4.559272703
227	4.557023415
228	4.55584174
229	4.552604091
230	4.549573147
231	4.547596219
232	4.544407539
233	4.541010074
234	4.538567385
235	4.536231767
236	4.531878393
237	4.527370387
238	4.52309405
239	4.518943827
240	4.515524122
241	4.512258311
242	4.503310321
243	4.496827323
244	4.490738319
245	4.48673053
246	4.483526321
247	4.479952576
248	4.472223929
249	4.465081601
250	4.456030675
251	4.452173675
252	4.448986738
253	4.445585139
254	4.438218805
255	4.437732565
256	4.432876201
257	4.426116265
258	4.425794899
259	4.425553632
260	4.417327523
261	4.413453368
262	4.411327597
263	4.403528165
264	4.396090163
265	4.388157154
266	4.381298019
267	4.376948629
268	4.374291393
269	4.368190862
270	4.366398247
271	4.36449088
272	4.357147674
273	4.352869596
274	4.350057681
275	4.346058213
276	4.341081436
277	4.335522662
278	4.333563939
279	4.330550046
280	4.32810217
281	4.326293433
282	4.32269054
283	4.31671664
284	4.312321343
285	4.306763918
286	4.30599481
287	4.299467139
288	4.295023174
289	4.288056464
290	4.282194318
291	4.277493618
292	4.272170907
293	4.267309972
294	4.26146625
295	4.258731857
296	4.252954858
297	4.252292084
298	4.248147233
299	4.247517888
300	4.24464541
301	4.243457497
302	4.240761693
303	4.240327227
304	4.2392978
305	4.234619368
306	4.232661484
307	4.228746969
308	4.225014114
309	4.221907416
310	4.219753967
311	4.217701259
312	4.212632307
313	4.20886508
314	4.208229962
315	4.206101874
316	4.205904472
317	4.203869629
318	4.199034046
319	4.194535036
320	4.188656278
321	4.185852678
322	4.18362123
323	4.180877273
324	4.176604638
325	4.173417839
326	4.170349611
327	4.167309945
328	4.163306643
329	4.163182103
330	4.162273635
331	4.161178084
332	4.159523275
333	4.158384507
334	4.154370538
335	4.151511729
336	4.148525352
337	4.144488659
338	4.140658258
339	4.136240638
340	4.135432277
341	4.132859359
342	4.130182097
343	4.127176385
344	4.124220933
345	4.122621767
346	4.121695233
347	4.117380523
348	4.114938884
349	4.109960741
350	4.107621255
351	4.104653285
352	4.098584515
353	4.092287536
354	4.088168035
355	4.087253818
356	4.08447633
357	4.079410924
358	4.077275879
359	4.069681498
360	4.063702488
361	4.058215403
362	4.05390836
363	4.048690834
364	4.047011376
365	4.043571164
366	4.041991828
367	4.038631755
368	4.03571173
369	4.033292686
370	4.032060576
371	4.031105974
372	4.026767515
373	4.024989064
374	4.021840982
375	4.017557678
376	4.012145999
377	4.007649381
378	4.005998047
379	4.00133169
380	3.997874978
381	3.99733309
382	3.994966595
383	3.99127675
384	3.987591071
385	3.987418483
386	3.980561973
387	3.975669674
388	3.972772988
389	3.96930847
390	3.967194356
391	3.966536985
392	3.961876206
393	3.956473394
394	3.954264237
395	3.950969843
396	3.948914522
397	3.948420838
398	3.946509447
399	3.943585069
400	3.941413318
401	3.938293984
402	3.935367012
403	3.928596227
404	3.926926086
405	3.922994204
406	3.920762412
407	3.918413975
408	3.911270737
409	3.908982747
410	3.906100974
411	3.904249337
412	3.904091045
413	3.900364852
414	3.896658544
415	3.893264742
416	3.890105085
417	3.887934697
418	3.885424149
419	3.882864829
420	3.880698157
421	3.877441702
422	3.874741086
423	3.873036362
424	3.867717936
425	3.865273563
426	3.861834813
427	3.859127416
428	3.852255587
429	3.848323532
430	3.841524482
431	3.840834825
432	3.8389745
433	3.835232519
434	3.830579724
435	3.828466153
436	3.825911105
437	3.823301531
438	3.820306914
439	3.819685107
440	3.813354152
441	3.813215709
442	3.806884854
443	3.802419956
444	3.797245944
445	3.794830123
446	3.793899919
447	3.792076184
448	3.788279797
449	3.784977325
450	3.782391547
451	3.782106093
452	3.780556403
453	3.775857435
454	3.770616548
455	3.769110496
456	3.767740307
457	3.765966255
458	3.761350577
459	3.758432416
460	3.754504683
461	3.749979651
462	3.747756876
463	3.746010568
464	3.744571253
465	3.739491896
466	3.736847494
467	3.732561814
468	3.731325241
469	3.728694936
470	3.724225879
471	3.722015436
472	3.720795991
473	3.718775038
474	3.717664743
475	3.716747629
476	3.714556506
477	3.71274706
478	3.711213594
479	3.709150888
480	3.708746754
481	3.704757556
482	3.703384908
483	3.703178458
484	3.69873896
485	3.693074675
486	3.691486501
487	3.687669092
488	3.682876181
489	3.680502353
490	3.677422361
491	3.67719648
492	3.674351436
493	3.67180343
494	3.668632489
495	3.667081894
496	3.665857603
497	3.663193804
498	3.660524497
499	3.657321226
500	3.651156911
501	3.648853072
502	3.647400299
503	3.646863428
504	3.6413446
505	3.638240247
506	3.635721986
507	3.635093873
508	3.633388337
509	3.632381078
510	3.628716999
511	3.626820432
512	3.626288581
513	3.623563868
514	3.622556904
515	3.620047114
516	3.616900553
517	3.616309441
518	3.614644974
519	3.607699283
520	3.606181444
521	3.603409309
522	3.60027032
523	3.597775227
524	3.596040007
525	3.590170052
526	3.588889717
527	3.58569555
528	3.584085615
529	3.582479693
530	3.58210486
531	3.578870828
532	3.577345293
533	3.573637262
534	3.570729556
535	3.569890135
536	3.564752608
537	3.564299987
538	3.561440111
539	3.560206247
540	3.558810437
541	3.558198466
542	3.556760536
543	3.555443582
544	3.549493322
545	3.547888768
546	3.545255764
547	3.542126372
548	3.538115984
549	3.536062413
550	3.53518609
551	3.533567916
552	3.528644264
553	3.526804809
554	3.524829528
555	3.523462879
556	3.520595544
557	3.518003114
558	3.515984117
559	3.514896374
560	3.513574881
561	3.510330141
562	3.508514381
563	3.507930094
564	3.504517541
565	3.502203159
566	3.501957104
567	3.501810889
568	3.498637304
569	3.498509157
570	3.495418533
571	3.494127346
572	3.491038011
573	3.490758223
574	3.486517338
575	3.484217345
576	3.477315544
577	3.476142337
578	3.475249107
579	3.473903356
580	3.469896728
581	3.467791889
582	3.466689815
583	3.464058262
584	3.463914867
585	3.4622531
586	3.460264609
587	3.459898217
588	3.455212811
589	3.45121619
590	3.447800985
591	3.444393053
592	3.444127694
593	3.442434005
594	3.439587777
595	3.4383039
596	3.437391541
597	3.435030401
598	3.43168767
599	3.427900631
600	3.422920311
601	3.419767214
602	3.419398533
603	3.417216035
604	3.414782215
605	3.410887309
606	3.409064603
607	3.407722854
608	3.403979003
609	3.40376982
610	3.402023591
611	3.399756489
612	3.398166554
613	3.394968704
614	3.3906426
615	3.38976261
616	3.385045958
617	3.384676108
618	3.383573881
619	3.381863373
620	3.379888051
621	3.374967734
622	3.371898608
623	3.368686726
624	3.366590805
625	3.362762659
626	3.360992908
627	3.358122807
628	3.356871459
629	3.356437465
630	3.355550848
631	3.354551337
632	3.34976156
633	3.348522691
634	3.348155544
635	3.345209687
636	3.344321874
637	3.342487446
638	3.34201474
639	3.338407133
640	3.334744475
641	3.33106578
642	3.328988781
643	3.328668429
644	3.326823742
645	3.321127188
646	3.315815399
647	3.313614361
648	3.310710277
649	3.30887805
650	3.305959586
651	3.305244738
652	3.302458158
653	3.300691656
654	3.298843533
655	3.297649348
656	3.296021486
657	3.29402312
658	3.293589445
659	3.292929355
660	3.291504984
661	3.287402561
662	3.285208746
663	3.284115688
664	3.280160664
665	3.279465029
666	3.276374696
667	3.275127767
668	3.272753103
669	3.269473185
670	3.267184721
671	3.26708462
672	3.266976868
673	3.265899764
674	3.264338692
675	3.263485884
676	3.26310585
677	3.25800631
678	3.256739767
679	3.255079836
680	3.253356479
681	3.249998159
682	3.248343045
683	3.24597619
684	3.24405732
685	3.241758706
686	3.237612621
687	3.236581236
